EmployeeID,Age,Department,JobRole,Gender,MaritalStatus,Education,YearsAtCompany,DistanceFromHome_km,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition
1034,21,Finance,Financial Analyst,Male,Single,Bachelor's,10,25,30053,4,1,No,4,No
1035,52,Finance,Financial Analyst,Male,Single,High School,8,12,26417,4,3,Yes,3,No
1036,28,Sales,Sales Manager,Male,Single,Bachelor's,12,12,80657,4,4,No,3,No
1037,44,Finance,Financial Analyst,Female,Married,Bachelor's,11,29,51244,3,4,No,2,No
1038,47,Sales,Sales Executive,Female,Single,Bachelor's,19,18,48282,3,4,No,1,No
1039,50,R&D,Research Scientist,Female,Single,Master's,8,25,30958,3,1,No,3,No
1040,56,Sales,Sales Executive,Male,Married,Master's,19,10,58738,4,3,No,4,No
1041,29,Sales,Sales Executive,Female,Married,Master's,5,3,46269,2,4,No,1,No
1042,31,Operations,Supervisor,Male,Married,Master's,8,23,41484,1,2,No,4,Yes
1043,40,IT,IT Support,Male,Married,Master's,14,16,45880,3,3,No,1,No
1044,23,IT,IT Support,Female,Married,Bachelor's,18,1,33318,4,3,Yes,4,No
1045,39,IT,IT Support,Male,Married,Master's,17,22,65118,4,2,No,3,No
1046,43,HR,HR Executive,Male,Married,Bachelor's,14,28,23135,3,2,No,4,No
1047,53,R&D,Lab Technician,Male,Single,Bachelor's,17,8,46791,2,1,No,4,No
1048,52,Finance,Financial Analyst,Female,Single,Master's,12,21,64566,3,2,No,4,No
1049,57,Sales,Sales Manager,Male,Divorced,Bachelor's,6,11,64507,4,1,No,2,No
1050,44,Operations,Supervisor,Female,Single,Bachelor's,13,2,52394,1,2,No,3,No
1051,41,IT,Software Engineer,Male,Married,High School,8,22,61678,3,3,No,3,No
1052,46,Sales,Sales Executive,Male,Single,Bachelor's,17,9,23330,4,1,No,3,No
1053,24,Operations,Supervisor,Female,Married,Master's,9,3,41934,2,4,No,1,No
1054,33,IT,IT Support,Female,Married,Bachelor's,5,25,37917,3,3,No,1,No
1055,24,Finance,Financial Analyst,Female,Single,Master's,15,5,53696,2,4,No,4,No
1056,28,R&D,Lab Technician,Female,Divorced,High School,14,1,44578,4,2,Yes,3,No
1057,48,Finance,Accountant,Male,Married,Bachelor's,13,20,52787,3,2,No,4,No
1058,37,Finance,Financial Analyst,Male,Divorced,Bachelor's,19,2,34525,2,1,Yes,2,Yes
1059,32,Finance,Accountant,Female,Married,Master's,12,21,42730,1,4,No,1,No
1060,52,R&D,Research Scientist,Male,Single,Bachelor's,2,27,68339,3,1,No,2,No
1061,37,Finance,Accountant,Female,Single,Bachelor's,9,5,39938,4,4,No,4,No
1062,25,Finance,Financial Analyst,Male,Married,Bachelor's,5,3,39262,3,3,No,3,No
1063,24,IT,IT Support,Male,Married,Bachelor's,10,9,58669,2,4,Yes,4,Yes
1064,47,Finance,Financial Analyst,Female,Single,High School,13,24,22330,2,1,Yes,2,Yes
1065,35,R&D,Research Scientist,Male,Married,Bachelor's,0,26,55394,2,4,Yes,2,Yes
1066,40,Finance,Financial Analyst,Male,Single,Master's,3,6,26079,1,4,No,3,No
1067,45,R&D,Research Scientist,Female,Divorced,High School,6,16,36243,2,3,No,3,No
1068,24,Operations,Operations Executive,Male,Married,High School,14,24,52023,1,4,No,4,No
1069,33,R&D,Lab Technician,Male,Divorced,Bachelor's,13,14,47297,2,1,No,3,No
1070,38,Operations,Operations Executive,Male,Married,Bachelor's,16,3,60932,3,4,No,1,No
1071,27,R&D,Research Scientist,Female,Single,Bachelor's,11,17,25932,1,3,No,4,No
1072,30,HR,HR Executive,Male,Married,Bachelor's,3,22,54174,3,3,No,2,No
1073,48,Finance,Accountant,Male,Married,Master's,4,26,45710,4,1,No,4,No
1074,34,HR,HR Executive,Female,Married,Bachelor's,10,1,47607,2,4,No,1,No
1075,36,HR,HR Executive,Male,Single,Bachelor's,18,9,55431,1,2,No,4,No
1076,36,Operations,Operations Executive,Male,Married,Master's,1,29,45336,3,1,Yes,1,Yes
1077,55,Finance,Accountant,Female,Single,Bachelor's,10,11,32139,3,3,No,2,No
1078,34,Finance,Financial Analyst,Male,Married,Master's,4,18,55334,4,1,No,1,No
1079,25,HR,HR Manager,Male,Divorced,Bachelor's,7,6,62970,1,1,No,1,No
1080,51,Sales,Sales Manager,Male,Married,Bachelor's,10,16,71870,4,1,No,3,No
1081,38,IT,Software Engineer,Female,Married,Bachelor's,8,28,39320,4,3,Yes,3,No
1082,26,Operations,Supervisor,Female,Divorced,Bachelor's,18,15,50426,4,2,No,1,No
1083,33,Finance,Financial Analyst,Female,Married,PhD,19,22,18896,1,1,No,3,No
1084,42,R&D,Lab Technician,Male,Divorced,Master's,9,4,31632,3,2,No,3,No
1085,30,R&D,Research Scientist,Male,Married,High School,8,7,20335,3,1,No,4,No
1086,51,IT,Software Engineer,Female,Divorced,Bachelor's,2,5,48450,4,2,Yes,4,No
1087,24,Finance,Financial Analyst,Female,Single,Bachelor's,3,9,44673,2,3,Yes,3,No
1088,57,IT,Software Engineer,Female,Married,Master's,5,17,63696,1,2,No,3,No
1089,41,IT,Software Engineer,Female,Single,Bachelor's,16,16,36577,4,2,No,4,No
1090,52,Operations,Supervisor,Male,Married,Bachelor's,9,8,46793,3,4,No,2,No
1091,51,IT,IT Support,Female,Married,Bachelor's,5,23,42180,3,1,Yes,3,No
1092,33,Finance,Accountant,Female,Single,Bachelor's,4,14,57249,1,2,Yes,3,No
1093,25,Finance,Accountant,Male,Married,Bachelor's,7,13,31178,4,3,Yes,2,No
1094,48,Sales,Sales Manager,Female,Single,Bachelor's,2,24,55514,2,3,Yes,2,No
1095,25,IT,IT Support,Male,Married,Bachelor's,13,24,66419,3,3,Yes,4,No
1096,41,Finance,Accountant,Male,Single,Bachelor's,18,17,45233,2,2,No,2,No
1097,25,Sales,Sales Manager,Female,Married,Bachelor's,4,7,26798,1,3,No,2,No
1098,32,HR,HR Manager,Male,Single,Master's,12,27,27706,3,4,Yes,4,No
1099,29,HR,HR Manager,Female,Married,Bachelor's,12,12,28398,1,2,Yes,1,Yes
1100,24,Finance,Accountant,Female,Single,Bachelor's,5,7,53365,2,1,No,1,No
1101,51,Operations,Supervisor,Female,Married,Bachelor's,17,6,64706,2,4,Yes,4,Yes
1102,28,HR,HR Executive,Male,Single,High School,18,20,75576,2,1,No,4,No
1103,50,Finance,Accountant,Male,Married,Master's,0,16,39964,3,2,No,1,No
1104,38,Operations,Supervisor,Female,Married,Bachelor's,8,28,54666,2,4,No,1,No
1105,57,IT,Software Engineer,Male,Single,High School,0,4,41255,4,2,No,3,No
1106,39,IT,Software Engineer,Female,Single,Bachelor's,17,13,26128,3,2,No,3,No
1107,30,Operations,Operations Executive,Male,Single,Bachelor's,4,20,29249,4,3,No,4,No
1108,39,Sales,Sales Manager,Female,Married,Bachelor's,11,7,47823,3,3,No,1,No
1109,21,Operations,Supervisor,Female,Single,High School,14,28,21451,3,1,No,3,No
1110,52,Operations,Operations Executive,Female,Married,Bachelor's,19,12,33150,2,2,Yes,2,No
1111,54,IT,Software Engineer,Female,Single,Bachelor's,18,16,24598,4,2,Yes,1,Yes
1112,35,Finance,Accountant,Female,Married,Bachelor's,3,19,23252,3,1,No,2,No
1113,26,R&D,Research Scientist,Female,Single,Bachelor's,6,29,32761,1,2,No,2,No
1114,33,HR,HR Executive,Male,Divorced,Master's,12,21,25497,3,2,No,4,No
1115,31,Operations,Operations Executive,Female,Married,Bachelor's,1,11,52751,1,1,Yes,2,Yes
1116,49,IT,IT Support,Female,Single,Bachelor's,10,7,59778,2,2,No,1,No
1117,53,IT,IT Support,Male,Married,Bachelor's,8,1,71307,2,2,No,2,No
1118,26,R&D,Research Scientist,Male,Divorced,Bachelor's,1,8,74189,3,4,No,2,No
1119,57,R&D,Lab Technician,Male,Single,Bachelor's,11,18,78264,1,2,No,2,No
1120,49,Operations,Supervisor,Female,Single,Bachelor's,19,4,56455,3,1,No,1,No
1121,54,HR,HR Executive,Female,Married,High School,11,11,19573,2,2,No,4,No
1122,52,Sales,Sales Executive,Male,Married,Bachelor's,2,21,38216,2,2,No,4,Yes
1123,39,IT,IT Support,Male,Single,Bachelor's,6,27,57190,2,1,No,3,No
1124,24,HR,HR Manager,Male,Divorced,Bachelor's,13,9,42023,4,1,No,3,No
1125,37,IT,Software Engineer,Female,Single,Bachelor's,2,9,32399,4,4,No,4,No
1126,42,Sales,Sales Executive,Male,Married,Master's,6,9,40775,2,1,No,3,No
1127,49,HR,HR Manager,Male,Married,High School,11,19,51748,3,1,No,3,No
1128,46,Finance,Financial Analyst,Male,Single,Bachelor's,7,10,48463,2,4,Yes,1,No
1129,24,HR,HR Executive,Male,Married,Master's,4,7,48504,3,3,No,2,No
1130,42,IT,IT Support,Female,Married,High School,3,11,29926,3,2,No,1,No
1131,27,R&D,Research Scientist,Female,Married,Bachelor's,5,20,15000,3,1,Yes,2,No
1132,40,Operations,Supervisor,Female,Married,Master's,9,9,42979,1,1,No,4,No
1133,23,HR,HR Executive,Male,Single,High School,3,26,28114,2,4,No,3,No
1134,21,R&D,Research Scientist,Female,Married,PhD,16,20,26343,1,4,No,1,No
1135,37,Operations,Operations Executive,Male,Single,Bachelor's,4,20,36937,1,4,No,3,No
1136,48,R&D,Research Scientist,Female,Divorced,Bachelor's,8,23,34970,4,4,Yes,2,No
1137,37,IT,IT Support,Male,Married,Master's,4,11,38175,1,2,Yes,3,No
1138,57,R&D,Research Scientist,Male,Single,Master's,17,21,30405,4,1,Yes,2,No
1139,38,Sales,Sales Manager,Female,Single,Bachelor's,5,28,49531,2,1,Yes,4,Yes
1140,40,IT,Software Engineer,Female,Married,High School,5,25,52653,1,2,No,3,Yes
1141,27,Operations,Operations Executive,Female,Married,High School,2,23,64712,4,4,No,2,No
1142,29,R&D,Research Scientist,Female,Married,High School,19,7,53382,3,2,Yes,1,No
1143,52,Operations,Supervisor,Male,Married,Bachelor's,8,12,30797,4,2,No,2,No
1144,22,IT,Software Engineer,Male,Married,Bachelor's,15,2,36272,4,2,No,3,No
1145,32,Finance,Financial Analyst,Female,Single,Bachelor's,18,11,42498,3,3,Yes,2,No
1146,40,IT,IT Support,Male,Married,Bachelor's,8,11,38257,2,3,Yes,2,No
1147,54,R&D,Research Scientist,Female,Married,Bachelor's,6,3,33305,1,3,Yes,4,Yes
1148,41,Finance,Financial Analyst,Male,Single,Bachelor's,8,21,15000,4,2,No,3,No
1149,44,Sales,Sales Executive,Female,Married,High School,12,2,44990,2,4,Yes,2,No
1150,56,R&D,Research Scientist,Male,Single,Bachelor's,1,15,35700,2,1,Yes,1,Yes
1151,36,Operations,Operations Executive,Male,Single,Master's,2,8,41341,1,2,No,3,No
1152,50,Operations,Supervisor,Male,Married,Master's,4,29,43734,1,2,Yes,3,Yes
1153,24,Finance,Accountant,Female,Single,Master's,5,21,39783,1,2,Yes,3,Yes
1154,50,IT,IT Support,Female,Married,Master's,13,22,40076,2,4,No,3,No
1155,45,Sales,Sales Manager,Male,Divorced,Bachelor's,9,10,58614,3,3,Yes,4,No
1156,30,Finance,Financial Analyst,Female,Married,Bachelor's,16,16,53211,2,4,No,1,No
1157,42,R&D,Research Scientist,Female,Married,Master's,8,26,40485,2,4,Yes,4,Yes
1158,31,IT,IT Support,Female,Single,Bachelor's,15,17,50218,4,3,No,2,No
1159,32,IT,IT Support,Female,Married,Master's,13,18,38464,4,1,No,2,No
1160,31,Operations,Supervisor,Female,Single,Bachelor's,6,10,54635,3,1,Yes,3,No
1161,52,IT,IT Support,Female,Married,Bachelor's,1,28,25720,3,4,No,4,No
1162,23,Operations,Supervisor,Male,Divorced,Master's,11,23,62079,4,4,No,3,No
1163,25,HR,HR Manager,Female,Divorced,Bachelor's,9,1,53212,1,2,No,3,No
1164,34,R&D,Research Scientist,Male,Married,High School,11,2,52724,4,2,No,2,No
1165,45,Finance,Accountant,Female,Married,Bachelor's,11,27,50544,2,2,No,1,Yes
1166,46,Finance,Accountant,Female,Married,Bachelor's,8,2,55157,4,4,No,3,No
1167,27,HR,HR Manager,Male,Married,Master's,1,29,70839,4,3,No,2,No
1168,54,IT,Software Engineer,Female,Divorced,Bachelor's,11,24,44392,3,4,No,4,No
1169,40,Sales,Sales Manager,Female,Single,High School,17,22,78329,4,3,No,4,No
1170,50,Operations,Operations Executive,Female,Single,Bachelor's,17,24,29046,4,4,No,3,No
1171,38,Finance,Accountant,Male,Married,Master's,2,15,57135,1,4,No,2,No
1172,22,Operations,Operations Executive,Female,Married,PhD,0,20,15000,4,2,No,2,No
1173,33,Sales,Sales Executive,Female,Divorced,Bachelor's,5,21,59733,1,1,Yes,4,Yes
1174,39,Operations,Supervisor,Male,Married,Bachelor's,4,18,56807,2,1,No,1,No
1175,37,R&D,Lab Technician,Female,Married,Master's,3,23,61814,2,4,No,1,No
1176,31,Operations,Supervisor,Male,Single,PhD,4,2,58493,1,2,No,1,No
1177,22,Sales,Sales Manager,Female,Single,Bachelor's,3,25,38814,3,2,No,1,No
1178,49,IT,Software Engineer,Female,Single,Bachelor's,1,29,58697,1,2,Yes,4,Yes
1179,39,Finance,Financial Analyst,Male,Married,Master's,8,12,55535,4,1,No,1,No
1180,24,Operations,Operations Executive,Male,Single,PhD,1,13,66880,1,3,No,4,No
1181,56,R&D,Lab Technician,Female,Married,Bachelor's,11,20,43355,3,3,No,3,No
1182,44,HR,HR Executive,Male,Divorced,Master's,6,4,66562,3,3,No,3,No
1183,46,Sales,Sales Manager,Male,Married,High School,16,27,62124,1,3,Yes,2,Yes
1184,45,HR,HR Manager,Male,Married,Bachelor's,14,17,34075,4,3,No,3,No
1185,25,Sales,Sales Manager,Male,Married,Master's,12,5,32804,3,1,No,2,No
1186,22,HR,HR Executive,Male,Married,Bachelor's,14,24,57855,2,2,No,1,No
1187,28,R&D,Lab Technician,Female,Married,Master's,5,9,58429,2,4,No,2,No
1188,40,R&D,Lab Technician,Male,Divorced,Master's,4,7,64679,4,4,Yes,2,No
1189,48,Operations,Supervisor,Male,Single,Master's,9,18,47467,4,4,No,1,No
1190,30,Operations,Operations Executive,Female,Married,Bachelor's,14,12,56763,1,4,Yes,1,Yes
1191,48,Finance,Financial Analyst,Male,Married,Master's,18,1,83806,4,2,Yes,1,No
1192,40,R&D,Research Scientist,Female,Divorced,Bachelor's,2,28,45044,4,1,No,4,No
1193,29,Sales,Sales Executive,Female,Married,Master's,3,9,53918,1,4,No,1,No
1194,34,Sales,Sales Executive,Male,Married,Bachelor's,15,13,38097,3,3,No,2,No
1195,37,R&D,Research Scientist,Male,Married,Master's,14,29,66090,1,2,No,4,No
1196,35,R&D,Lab Technician,Male,Married,Bachelor's,2,15,52533,3,4,Yes,2,No
1197,30,R&D,Lab Technician,Male,Single,Master's,1,18,41278,2,2,No,1,No
1198,35,Operations,Supervisor,Male,Married,PhD,3,26,44649,2,4,Yes,1,Yes
1199,48,Finance,Financial Analyst,Female,Married,Master's,8,20,40902,1,2,No,1,No
1200,48,HR,HR Manager,Female,Married,PhD,0,5,40878,1,1,No,1,No
1201,39,Sales,Sales Manager,Male,Divorced,Bachelor's,17,24,39074,1,1,No,4,No
1202,44,Operations,Operations Executive,Male,Married,Bachelor's,12,13,53816,3,2,No,3,No
1203,43,HR,HR Executive,Male,Divorced,Bachelor's,14,19,32983,1,1,No,4,No
1204,53,HR,HR Executive,Female,Married,Bachelor's,12,25,61988,1,4,Yes,4,No
1205,55,IT,Software Engineer,Male,Single,Bachelor's,7,14,47989,2,4,No,2,No
1206,53,HR,HR Executive,Male,Married,High School,17,28,47428,4,3,No,1,No
1207,28,Finance,Accountant,Female,Married,Bachelor's,14,22,47640,2,3,No,3,No
1208,50,IT,Software Engineer,Female,Married,High School,8,10,51150,2,2,Yes,2,Yes
1209,31,Sales,Sales Executive,Female,Married,Master's,9,28,26224,3,4,No,3,No
1210,45,R&D,Lab Technician,Male,Married,Master's,7,26,49229,4,4,Yes,1,No
1211,56,IT,IT Support,Male,Married,Bachelor's,6,10,39213,4,1,No,3,No
1212,40,R&D,Research Scientist,Female,Single,Bachelor's,18,12,81442,4,4,No,2,No
1213,32,IT,IT Support,Male,Single,PhD,12,18,58110,4,3,No,1,No
1214,21,Finance,Accountant,Female,Single,High School,5,8,49337,3,4,No,4,No
1215,51,HR,HR Executive,Female,Divorced,Master's,11,23,47030,1,4,No,4,No
1216,51,IT,Software Engineer,Female,Married,Master's,3,12,81437,1,4,No,3,No
1217,32,R&D,Research Scientist,Female,Divorced,Master's,12,22,15000,2,3,No,4,No
1218,51,Sales,Sales Manager,Female,Married,Bachelor's,4,24,50002,2,2,Yes,1,Yes
1219,46,HR,HR Manager,Female,Single,Bachelor's,17,1,47510,3,4,Yes,3,No
1220,53,IT,Software Engineer,Female,Single,High School,1,11,24131,2,3,No,1,No
1221,40,Sales,Sales Executive,Male,Married,Master's,3,29,62234,4,4,No,2,No
1222,54,Sales,Sales Executive,Male,Married,Bachelor's,13,24,47719,1,2,No,3,Yes
1223,27,IT,Software Engineer,Male,Single,PhD,2,7,95032,4,3,Yes,4,No
1224,40,R&D,Lab Technician,Male,Married,Master's,6,5,41490,4,4,No,2,No
1225,47,Sales,Sales Executive,Female,Married,Master's,1,9,69032,2,1,Yes,2,Yes
1226,51,HR,HR Manager,Female,Married,Bachelor's,18,21,34165,2,2,No,4,No
1227,21,Sales,Sales Manager,Male,Married,Bachelor's,4,12,60564,3,1,Yes,1,Yes
1228,36,Finance,Financial Analyst,Male,Single,Bachelor's,13,9,71574,3,3,No,1,No
1229,31,Operations,Operations Executive,Male,Married,Master's,4,20,53923,1,1,No,3,No
1230,42,Operations,Supervisor,Female,Married,PhD,19,8,34978,2,3,No,3,No
1231,25,Sales,Sales Manager,Male,Married,Bachelor's,0,19,62523,4,2,No,3,No
1232,22,R&D,Lab Technician,Male,Married,High School,11,22,49442,3,1,Yes,4,Yes
1233,31,Finance,Financial Analyst,Female,Married,Bachelor's,7,19,62662,2,2,No,2,No
1234,39,HR,HR Executive,Male,Married,Bachelor's,6,22,86250,2,1,Yes,4,Yes
1235,51,Sales,Sales Manager,Female,Divorced,Bachelor's,14,14,28971,1,3,Yes,4,No
1236,44,Sales,Sales Manager,Male,Married,Bachelor's,10,15,59923,4,1,Yes,4,Yes
1237,41,IT,Software Engineer,Male,Married,Master's,17,25,56750,2,2,Yes,4,Yes
1238,53,Operations,Supervisor,Female,Single,Master's,6,26,51494,2,3,No,2,No
1239,54,IT,Software Engineer,Male,Married,Bachelor's,13,2,57079,4,1,No,2,No
1240,49,Finance,Financial Analyst,Female,Married,Master's,19,19,18108,4,4,No,1,No
1241,56,Operations,Operations Executive,Male,Divorced,Master's,4,1,31856,3,1,No,4,No
1242,27,R&D,Lab Technician,Male,Single,Bachelor's,13,15,43627,2,3,No,2,No
1243,21,Operations,Supervisor,Male,Divorced,Bachelor's,4,11,73548,1,3,No,2,No
1244,31,HR,HR Executive,Male,Married,Master's,18,26,38266,1,1,No,1,No
1245,25,IT,IT Support,Male,Single,Bachelor's,17,26,41987,3,1,Yes,4,Yes
1246,33,Sales,Sales Executive,Female,Single,Bachelor's,11,8,47847,4,4,No,3,No
1247,57,IT,Software Engineer,Male,Married,Master's,6,24,25940,3,3,No,1,No
1248,25,HR,HR Executive,Male,Single,Bachelor's,1,6,41964,1,3,Yes,2,Yes
1249,54,HR,HR Manager,Female,Single,Bachelor's,2,2,35254,2,4,No,2,No
1250,39,Sales,Sales Manager,Female,Single,Master's,10,21,15000,3,2,No,3,No
1251,28,Operations,Operations Executive,Female,Married,Master's,15,24,15000,4,4,No,3,No
1252,33,Finance,Financial Analyst,Male,Married,Bachelor's,10,14,42505,4,2,Yes,4,Yes
1253,29,R&D,Lab Technician,Male,Married,Bachelor's,10,2,48453,2,3,No,3,No
1254,33,Operations,Supervisor,Female,Married,High School,7,15,42107,1,4,No,2,No
1255,43,Sales,Sales Manager,Female,Married,Bachelor's,16,12,30702,1,1,No,4,No
1256,42,Finance,Accountant,Male,Married,PhD,7,4,56564,4,2,No,4,No
1257,24,R&D,Lab Technician,Female,Married,Master's,13,23,20522,1,4,No,3,No
1258,52,HR,HR Executive,Male,Single,PhD,2,13,45343,2,4,No,3,No
1259,21,Sales,Sales Executive,Female,Married,Bachelor's,17,8,40050,4,2,Yes,1,Yes
1260,34,R&D,Research Scientist,Female,Single,Master's,16,19,36318,2,1,No,4,No
1261,43,Finance,Accountant,Male,Single,Bachelor's,8,27,56943,4,1,No,3,No
1262,50,Finance,Accountant,Male,Married,Master's,15,6,72833,1,3,No,3,No
1263,21,IT,Software Engineer,Female,Single,High School,14,6,30558,3,1,Yes,3,No
1264,31,Operations,Supervisor,Female,Single,PhD,3,13,27439,4,2,Yes,2,No
1265,52,Finance,Accountant,Male,Single,Bachelor's,16,21,43169,1,3,No,4,No
1266,46,R&D,Lab Technician,Female,Married,Bachelor's,2,12,67743,1,2,No,2,No
1267,31,Operations,Operations Executive,Male,Single,Bachelor's,7,4,39182,2,2,Yes,1,Yes
1268,38,IT,IT Support,Male,Married,Bachelor's,17,13,67610,1,4,Yes,2,Yes
1269,33,Finance,Financial Analyst,Male,Single,Bachelor's,7,27,39924,3,2,Yes,3,Yes
1270,34,IT,Software Engineer,Female,Single,Bachelor's,12,8,49124,3,3,Yes,4,No
1271,34,Sales,Sales Manager,Female,Married,Bachelor's,1,19,44676,1,4,No,1,No
1272,38,R&D,Research Scientist,Female,Single,Bachelor's,4,8,64246,2,3,No,1,No
1273,25,HR,HR Executive,Female,Single,Bachelor's,3,1,50610,3,2,No,1,No
1274,30,HR,HR Manager,Male,Married,Master's,10,11,47473,2,3,Yes,2,No
1275,34,Sales,Sales Executive,Female,Married,Master's,14,27,33019,4,2,Yes,1,Yes
1276,53,IT,IT Support,Female,Divorced,PhD,7,20,27060,3,4,No,4,No
1277,45,Finance,Accountant,Male,Married,Master's,0,19,44021,3,1,No,4,No
1278,42,R&D,Research Scientist,Female,Single,Bachelor's,9,4,65939,3,4,No,3,No
1279,24,Sales,Sales Manager,Female,Divorced,Bachelor's,9,22,31571,2,1,Yes,1,Yes
1280,38,IT,Software Engineer,Female,Single,Bachelor's,6,7,59345,4,1,No,4,No
1281,50,R&D,Lab Technician,Male,Married,High School,7,15,43720,3,2,Yes,3,No
1282,31,Sales,Sales Manager,Female,Single,Bachelor's,9,8,36559,2,2,No,2,No
1283,30,Operations,Operations Executive,Male,Married,Bachelor's,14,6,42385,3,1,No,3,No
1284,52,HR,HR Manager,Male,Single,PhD,9,12,72467,2,2,No,2,No
1285,46,IT,IT Support,Female,Divorced,Master's,9,3,68334,4,4,No,2,No
1286,28,IT,Software Engineer,Male,Married,Bachelor's,9,10,37510,2,3,No,1,No
1287,31,IT,Software Engineer,Male,Married,High School,17,29,38200,1,3,Yes,3,Yes
1288,38,IT,IT Support,Male,Married,Master's,18,8,50295,3,2,No,4,No
1289,38,Finance,Financial Analyst,Female,Single,Bachelor's,18,16,63747,3,1,No,2,No
1290,37,R&D,Lab Technician,Female,Married,Bachelor's,14,5,38189,2,4,No,1,No
1291,33,HR,HR Executive,Male,Single,Bachelor's,12,1,29454,1,1,Yes,1,Yes
1292,54,Sales,Sales Executive,Female,Married,Master's,6,2,53358,1,4,No,3,No
1293,34,Operations,Supervisor,Male,Single,Bachelor's,17,28,27396,2,2,No,2,No
1294,43,HR,HR Executive,Female,Married,High School,6,25,61848,1,4,No,3,No
1295,21,R&D,Lab Technician,Male,Single,Bachelor's,2,12,33847,4,2,No,4,No
1296,43,HR,HR Manager,Female,Single,Bachelor's,1,9,35234,1,3,No,2,No
1297,22,Operations,Supervisor,Female,Single,Bachelor's,6,20,15000,4,4,Yes,3,No
1298,22,Operations,Operations Executive,Female,Single,Bachelor's,0,18,55213,4,2,Yes,3,No
1299,47,Operations,Operations Executive,Female,Married,Bachelor's,2,26,62644,2,3,No,4,No
1300,52,Operations,Operations Executive,Female,Single,Bachelor's,10,14,40347,1,1,No,1,No
1301,24,Sales,Sales Manager,Male,Single,Bachelor's,0,23,29873,3,3,No,2,No
1302,33,HR,HR Executive,Male,Single,Bachelor's,19,12,44527,1,4,No,2,No
1303,28,IT,Software Engineer,Male,Divorced,High School,2,13,40624,1,1,No,1,No
1304,35,Operations,Operations Executive,Male,Single,Bachelor's,4,14,40415,4,1,No,3,No
1305,52,HR,HR Manager,Male,Single,High School,13,3,40459,3,1,Yes,2,Yes
1306,28,IT,Software Engineer,Male,Single,Bachelor's,13,20,37630,3,4,No,2,No
1307,22,Sales,Sales Executive,Male,Married,Bachelor's,18,3,17922,2,1,No,1,No
